@RELATION airbnb

@ATTRIBUTE room_type {'Shared room','Entire home/apt','Private room'}
@ATTRIBUTE neighborhood {'Eixample','Sants-Montjuïc','Ciutat Vella','Sant Martí','Les Corts','Horta-Guinardó','Nou Barris','Gràcia','Sarrià-Sant Gervasi','Sant Andreu'}
'Private room','Eixample','0','4.0','3','1.0','0','4','10'
'Private room','Eixample','3','4.0','2','1.0','0','4','10'
'Private room','Eixample','0','4.5','1','1.0','0','4','10'
'Private room','Sants-Montjuïc','1','5.0','2','1.0','0','5','7'
'Private room','Gràcia','1','4.5','2','1.0','0','8','10'
'Private room','Les Corts','0','4.5','1','1.0','0','5','5'
'Private room','Eixample','0','4.5','2','1.0','0','5','9'
'Entire home/apt','Eixample','0','4.0','8','4.0','0','4','9'
'Entire home/apt','Ciutat Vella','0','5.0','2','1.0','0','4','10'
'Private room','Horta-Guinardó','0','4.0','1','1.0','0','14','10'
'Private room','Sarrià-Sant Gervasi','0','5.0','2','1.0','0','8','8'
'Private room','Sant Andreu','0','2.5','2','1.0','0','12','14'
'Entire home/apt','Gràcia','1','5.0','4','2.0','0','10','9'
'Entire home/apt','Eixample','3','4.5','3','1.0','0','9','12'
'Private room','Eixample','1','4.0','2','1.0','0','4','11'
'Private room','Eixample','1','4.5','2','1.0','0','8','12'
'Entire home/apt','Eixample','1','4.5','11','4.0','0','6','10'
'Entire home/apt','Eixample','1','5.0','6','3.0','1','7','11'
'Entire home/apt','Ciutat Vella','0','5.0','3','2.0','1','5','13'
'Entire home/apt','Ciutat Vella','0','4.0','4','0.0','0','4','12'
'Entire home/apt','Ciutat Vella','0','5.0','2','1.0','0','4','11'
'Entire home/apt','Eixample','0','4.0','5','3.0','0','4','10'
'Private room','Eixample','1','4.5','2','1.0','0','8','13'
'Entire home/apt','Eixample','1','5.0','6','2.0','0','9','12'
'Private room','Ciutat Vella','0','4.0','2','1.0','0','4','11'
'Entire home/apt','Sarrià-Sant Gervasi','0','4.5','4','2.0','0','8','7'
'Entire home/apt','Gràcia','0','4.5','6','2.0','0','8','8'
'Private room','Ciutat Vella','1','4.5','2','1.0','0','4','11'
'Entire home/apt','Eixample','0','4.5','4','2.0','0','8','12'
'Entire home/apt','Sant Martí','0','5.0','4','1.0','0','8','16'
'Entire home/apt','Eixample','0','4.5','7','3.0','0','5','8'
'Entire home/apt','Sant Martí','0','4.5','4','2.0','0','9','16'
'Entire home/apt','Sants-Montjuïc','0','4.5','4','1.0','0','3','11'
'Private room','Eixample','0','5.0','2','1.0','0','9','11'
'Entire home/apt','Eixample','2','5.0','4','1.0','0','9','12'
'Entire home/apt','Sarrià-Sant Gervasi','0','4.5','2','1.0','0','9','7'
'Entire home/apt','Eixample','2','4.5','2','1.0','0','5','10'
'Entire home/apt','Sants-Montjuïc','0','4.0','5','3.0','1','3','11'
'Private room','Eixample','0','5.0','1','1.0','0','6','8'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','5','11'
'Private room','Gràcia','0','5.0','1','1.0','0','9','10'
'Entire home/apt','Les Corts','1','4.0','7','4.0','0','5','6'
